id,subscale,subscale_score
1,CO,18
1,DE,19
1,FA,13
1,PR,24
1,UN,29
1,UT,27
2,CO,21
2,DE,18
2,FA,14
2,PR,19
2,UN,5
2,UT,21
3,CO,22
3,DE,30
3,FA,29
3,PR,42
3,UN,4
3,UT,44
4,CO,29
4,DE,28
4,FA,23
4,PR,29
4,UN,29
4,UT,29
5,CO,25
5,DE,28
5,FA,24
5,PR,25
5,UN,27
5,UT,24
6,CO,24
6,DE,29
6,FA,25
6,PR,26
6,UN,29
6,UT,28
7,CO,22
7,DE,18
7,FA,15
7,PR,22
7,UN,27
7,UT,33
8,CO,29
8,DE,22
8,FA,23
8,PR,26
8,UN,28
8,UT,26
9,CO,28
9,DE,25
9,FA,19
9,PR,21
9,UN,11
9,UT,30
10,CO,22
10,DE,19
10,FA,13
10,PR,16
10,UN,22
10,UT,16
11,CO,24
11,DE,28
11,FA,29
11,PR,31
11,UN,19
11,UT,30
12,CO,28
12,DE,22
12,FA,27
12,PR,27
12,UN,26
12,UT,28
13,CO,24
13,DE,20
13,FA,24
13,PR,20
13,UN,25
13,UT,22
14,CO,21
14,DE,23
14,FA,31
14,PR,28
14,UN,17
14,UT,33
15,CO,19
15,DE,19
15,FA,14
15,PR,21
15,UN,30
15,UT,21
16,CO,17
16,DE,21
16,FA,8
16,PR,15
16,UN,22
16,UT,29
17,CO,26
17,DE,31
17,FA,22
17,PR,30
17,UN,29
17,UT,38
18,CO,13
18,DE,15
18,FA,16
18,PR,8
18,UN,35
18,UT,19
19,CO,19
19,DE,28
19,FA,27
19,PR,21
19,UN,19
19,UT,19
20,CO,27
20,DE,28
20,FA,25
20,PR,27
20,UN,24
20,UT,27
21,CO,28
21,DE,30
21,FA,30
21,PR,27
21,UN,31
21,UT,13
22,CO,24
22,DE,15
22,FA,16
22,PR,22
22,UN,13
22,UT,25
23,CO,31
23,DE,23
23,FA,4
23,PR,22
23,UN,39
23,UT,40
24,CO,18
24,DE,26
24,FA,30
24,PR,28
24,UN,12
24,UT,39
25,CO,35
25,DE,37
25,FA,34
25,PR,36
25,UN,41
25,UT,42
26,CO,40
26,DE,31
26,FA,33
26,PR,37
26,UN,32
26,UT,45
27,CO,30
27,DE,26
27,FA,28
27,PR,28
27,UN,37
27,UT,30
28,CO,22
28,DE,25
28,FA,25
28,PR,24
28,UN,29
28,UT,25
29,CO,37
29,DE,36
29,FA,33
29,PR,44
29,UN,15
29,UT,42
30,CO,26
30,DE,16
30,FA,16
30,PR,20
30,UN,13
30,UT,29
31,CO,19
31,DE,29
31,FA,17
31,PR,30
31,UN,28
31,UT,38
32,CO,29
32,DE,35
32,FA,22
32,PR,38
32,UN,32
32,UT,38
33,CO,36
33,DE,39
33,FA,22
33,PR,39
33,UN,34
33,UT,33
34,CO,27
34,DE,32
34,FA,29
34,PR,34
34,UN,26
34,UT,31
35,CO,25
35,DE,24
35,FA,20
35,PR,29
35,UN,26
35,UT,33
36,CO,25
36,DE,19
36,FA,7
36,PR,16
36,UN,21
36,UT,34
37,CO,19
37,DE,10
37,FA,8
37,PR,12
37,UN,10
37,UT,24
38,CO,28
38,DE,28
38,FA,24
38,PR,30
38,UN,27
38,UT,30
39,CO,11
39,DE,20
39,FA,13
39,PR,28
39,UN,37
39,UT,29
40,CO,30
40,DE,20
40,FA,27
40,PR,28
40,UN,28
40,UT,36
41,CO,27
41,DE,23
41,FA,18
41,PR,29
41,UN,30
41,UT,39
42,CO,22
42,DE,32
42,FA,31
42,PR,28
42,UN,24
42,UT,32
43,CO,24
43,DE,30
43,FA,26
43,PR,22
43,UN,21
43,UT,33
44,CO,30
44,DE,25
44,FA,21
44,PR,24
44,UN,28
44,UT,35
45,CO,25
45,DE,26
45,FA,18
45,PR,20
45,UN,13
45,UT,29
46,CO,30
46,DE,31
46,FA,21
46,PR,35
46,UN,24
46,UT,36
47,CO,12
47,DE,17
47,FA,15
47,PR,23
47,UN,6
47,UT,20
48,CO,34
48,DE,36
48,FA,30
48,PR,38
48,UN,39
48,UT,41
49,CO,35
49,DE,36
49,FA,27
49,PR,36
49,UN,32
49,UT,37
50,CO,24
50,DE,33
50,FA,28
50,PR,28
50,UN,40
50,UT,32
